,documentSentiment.magnitude,documentSentiment.score,PetID
66,0.9,0.9,a80687cf1
67,1.0,0.5,13966b6a8
68,1.1,0.0,0211e2f2d
69,4.6,0.1,5b4745340
70,0.9,0.3,360215e23
71,0.7,-0.1,7fa04723a
72,0.6,-0.2,aca9ddee7
73,1.5,0.3,eddac3328
74,4.0,0.6,ba3ee71f8
75,3.9,0.4,4e774a9c7
76,1.1,-0.3,1f33216f7
77,2.7,0.4,36edc334e
78,3.6,0.5,a58d8080b
79,0.9,0.3,b0278d962
80,0.4,0.0,69f4a00df
81,0.4,0.0,01e78230b
82,2.2,0.1,828f48390
83,3.2,0.0,603dbe569
84,0.0,0.0,a05674125
85,0.7,0.3,6bacb98ab
86,0.0,0.0,aa0901313
87,3.1,0.2,062e2772c
88,1.8,0.9,bb48e2353
89,0.3,0.0,3d9ee26e3
90,1.9,0.3,b1ae07ad5
91,1.0,0.1,0be7a4adf
92,2.7,0.3,46d88ca3e
93,3.7,0.2,897fde926
94,1.2,0.2,7a12a494f
95,0.9,0.9,c38afccab
96,2.2,0.2,3be835fa8
97,5.2,0.3,3a6197f6d
98,0.6,0.3,d4aa3713a
99,2.2,0.1,6471c7195
100,1.9,0.9,6607c6e22
101,6.4,0.2,30eb1004f
102,0.1,0.1,200a0df49
103,0.3,0.0,fe2209833
104,1.1,0.3,c09a67b3a
105,3.0,0.1,21b5e3d22
106,2.8,0.2,a76937df3
107,0.5,-0.5,0bcae32b7
108,3.6,0.1,056bb97e4
109,11.2,0.0,99f5b19b5
110,2.0,-0.1,7d4f585b5
111,1.0,0.0,9a0db11a9
112,0.0,0.0,d71310023
113,0.8,0.3,6668704bf
114,2.5,0.8,de1f49c9d
115,0.7,0.3,cc8bf5e79
116,2.8,0.2,76042f693
117,0.2,-0.2,27ef6e605
118,3.7,0.4,2d19917cb
119,0.9,0.2,7b9cd9253
120,1.1,0.2,6e3aad5f3
121,0.3,0.3,2ea365a6f
122,5.5,0.1,e7ab271b1
123,0.9,0.4,69ba8d92e
124,1.2,0.3,d8697f0fd
125,2.3,0.0,1991b0817
126,5.7,0.2,04bad9310
127,3.3,0.1,a59aa3f80
128,6.7,0.3,463be5788
129,0.3,0.3,28dfa1c39
130,0.2,-0.2,e7f5a8bd0
131,2.7,0.1,029b05087
132,6.2,0.3,ee370b5cf
133,2.8,0.3,c9206bc13
134,0.4,0.4,61ba636f0
135,1.6,0.0,51e25fe8b
136,3.7,0.3,c863daf49
137,2.9,0.7,948a1a82c
138,2.4,0.3,6c909e8d0
139,1.4,0.4,d41773368
140,2.9,0.1,c969e8b17
141,1.2,0.1,e276a9ad1
142,0.3,0.3,f54941314
143,0.6,0.3,7843a9dca
144,1.3,0.4,b271a8246
145,4.8,0.0,1e6c42df6
146,1.4,0.1,fee500b95
147,2.5,0.5,49ad94a6a
148,1.4,0.7,56b63bfb3
149,2.6,-0.1,332ae5ab2
150,1.7,0.3,97d823486
151,0.9,0.9,8abb96298
152,2.8,0.4,4bb96a979
153,0.6,-0.6,6d994c50c
154,2.9,0.7,5e17c1fde
155,3.4,0.8,c6c1048af
156,2.5,0.4,8d39ce00b
157,0.6,0.6,9ba05432d
158,1.9,0.6,5649192e9
159,1.7,0.3,da5ae6aa9
160,0.6,-0.1,96b39751e
161,0.8,0.8,37c989ac5
162,2.6,0.2,6c4af5f08
163,3.6,0.5,53964c5d0
164,1.8,0.3,2cf4d18e3
165,2.6,0.6,355756bdc
166,1.6,0.5,dc99804de
167,1.9,0.4,edc5c168a
168,2.2,0.3,ee57c8d53
169,0.8,0.2,2f50d46b2
170,0.8,0.8,adc51c1a7
171,5.6,0.5,574b9ab4f
172,2.4,0.3,b1988cdd5
173,3.2,0.8,be38039cc
174,1.8,0.4,e50d881a7
175,2.8,0.0,1efbef49e
176,0.7,0.7,d3486b178
177,0.3,0.3,2416a2da1
178,1.4,0.3,7bebfc2a8
179,2.3,0.2,8ce0f64b4
180,1.2,0.2,1bd13d3e5
181,0.2,0.0,5d8c4f66b
182,3.5,0.2,6dcce539c
183,0.8,0.4,456c7a365
184,0.9,0.3,310c3f884
185,5.1,0.0,2bdf3471b
186,3.7,0.6,db0a53c3a
187,2.1,-0.3,54224dada
188,0.0,0.0,219444cb8
189,2.4,0.2,45f8df95e
190,0.9,0.9,8e3fba2c2
191,1.8,0.0,fa73b1181
192,3.4,0.4,43ddb2eb4
193,3.8,0.0,3ded98af9
194,4.3,0.2,fd8f64c6d
195,4.7,0.4,1b71de34e
196,0.2,-0.2,04b5f77c0
197,0.3,0.1,93e058345
198,1.0,0.2,607744326
199,1.1,0.2,cbc7dc778
200,7.8,0.1,2ca3bc8f5
201,0.5,0.5,e97e1afc1
202,2.0,0.3,05aaee8ce
203,0.0,0.0,36f1c9d61
204,0.0,0.0,015fdb354
205,2.1,0.3,b69d479cf
206,1.1,0.1,5780fe74a
207,1.0,0.5,1da3eb996
208,0.7,0.7,a44b2389a
209,1.4,0.2,4d40cfa55
210,0.7,0.2,38e3b6744
211,4.1,0.4,9d66ac1e7
212,0.6,0.2,ecb6979fa
213,0.4,0.4,baf543aa6
214,0.3,-0.1,97dd55a08
215,2.7,0.3,ef086278a
216,0.0,0.0,33826a08a
217,0.7,0.1,84057a73d
218,2.4,0.3,12c65f314
219,0.4,-0.2,6dac572be
220,1.6,0.1,155d18f5f
221,2.9,0.5,7f74af51f
222,0.9,0.0,71cc0a02e
223,0.8,0.8,e96d122ed
224,8.5,0.2,4dc36183c
225,0.2,0.0,88fa13291
226,0.9,0.9,c82e4964c
227,2.9,0.4,30506e8c1
228,2.5,0.3,a4ba78b62
229,0.8,0.4,3085ca2c6
230,3.3,0.2,42d565331
231,2.0,0.5,4f402845d
232,3.7,0.3,dce7af31c
233,0.7,0.3,f3f8bb113
234,6.5,0.1,7a496733d
235,1.9,0.3,7362590d5
236,6.4,0.1,b0d4b988a
237,6.8,0.5,6326e5387
238,0.3,0.1,0327b8e94
239,2.0,0.4,33a373ca9
240,0.2,0.2,a90a72141
241,2.2,0.1,4ce620a7a
242,0.9,0.9,b80074591
243,0.9,0.9,3acfe9fcd
244,0.3,-0.3,eb3d2466f
245,2.4,0.2,c63dc4adb
246,0.3,0.3,03ae93b48
247,2.3,0.0,c8be6ec3c
248,4.0,0.1,6c196faec
249,1.6,0.4,ba6ea2d18
250,0.7,0.1,fc02869d9
251,0.2,-0.1,cdf5760e8
252,3.1,0.2,08048fee2
253,2.5,0.2,4872c28b4
254,2.2,0.3,5fed61438
255,1.2,0.6,0ede86b28
256,2.1,0.1,7b4ff27b3
257,3.2,0.1,022606901
258,1.7,0.0,d1870f34b
259,1.6,0.3,93f620b68
260,0.8,0.4,63912e2b8
261,0.8,0.2,48fd10660
262,0.2,-0.2,7f434b444
263,0.7,0.3,75a11e0f8
264,0.4,0.0,af39d67a5
265,2.7,0.4,6b307a8ec
266,1.7,0.0,d336e6953
267,0.0,0.0,dd015cd22
268,2.8,0.2,0146f6d2c
269,4.1,0.8,0058586f1
270,2.8,0.4,45dba413a
271,1.5,0.3,5bd405bac
272,0.9,0.4,8b9739cef
273,0.0,0.0,fc93e5aa5
274,0.2,0.2,21655a8bc
275,2.5,0.2,1633b105b
276,2.1,0.7,f861c3c77
277,3.4,0.6,a2c98c186
278,0.9,0.9,5b928c0a6
279,5.4,0.1,7a0746a1f
280,0.6,0.6,425804cd2
281,1.7,0.8,0e5d845dc
282,2.0,0.2,2107c9788
283,2.8,0.7,434691342
284,4.9,0.5,78f87a45d
285,3.1,0.6,9415bc79e
286,1.1,0.3,e3b39a9f5
287,0.8,0.8,217fcf5f1
288,2.5,0.8,9304f9f8b
289,2.8,0.7,183160bf0
290,5.0,0.1,747359fcb
291,0.2,0.1,3595648ea
292,1.9,0.3,5bc5b2ced
293,1.9,0.0,38436063c
294,0.1,0.1,708ce5f42
295,1.8,0.6,35c9855f5
296,0.8,0.8,958a86135
297,1.1,0.1,7b67f6ed6
298,1.2,0.3,d7696fdac
299,1.0,0.3,a9495309b
300,0.0,0.0,e488a36cf
301,4.2,0.0,0658597c9
302,1.7,0.8,5a3c85e3c
303,0.7,0.3,233ddf40c
304,1.7,-0.2,446748891
305,1.9,0.9,f6551137d
306,1.1,0.1,eb21c0250
307,2.6,0.5,74cd0ff66
308,1.9,0.4,0af536283
309,3.9,0.1,14cbb81c8
310,0.4,0.4,d452218f1
311,1.1,0.3,edd2ebd5e
312,0.9,0.9,e4aa86e0a
313,2.4,0.2,a8e5ae23a
314,5.3,0.2,cfd57abde
315,4.5,-0.1,570b3eb92
316,1.5,0.0,40f1ee340
317,2.1,0.2,09f75d8e1
318,1.9,0.0,45af03266
319,2.7,0.5,11cc5a797
320,2.8,0.7,07cfb3380
321,2.2,0.2,fe0a74b2b
322,5.3,0.5,01573c686
323,0.4,0.1,e3f28534a
324,0.5,0.5,ec250ea11
325,1.0,0.5,832a83f42
326,1.0,0.2,1a1e3aa63
327,5.6,0.3,4464fa621
328,0.9,-0.1,61e477c0a
329,1.0,0.2,41bcb5de4
330,1.4,0.3,4405cc72c
331,0.9,0.2,f3db279d0
332,1.9,0.3,27b5a9db5
333,0.9,-0.4,cc492b6b5
334,2.7,0.4,732a2ed35
335,1.4,0.4,3d277ebe6
336,0.1,0.1,f57efd0b9
337,0.3,0.0,a3449e0d0
338,1.2,0.4,1adb69797
339,3.6,0.3,cb568959e
340,2.2,0.2,662f8c2a9
341,3.0,0.4,4e9f82a98
342,3.3,0.0,997db5df5
343,4.4,0.1,f522ad8d4
344,3.1,0.2,2aac4b61a
345,1.8,0.6,64c2d93c9
346,1.0,0.2,2ac3ca459
347,0.3,0.3,5377c3a3c
348,6.5,0.3,8e3b1dcd1
349,1.7,0.0,262c8cc14
350,0.8,0.2,2398599fc
351,3.5,0.4,e742a643d
352,0.2,0.2,6d474edc5
353,0.7,0.7,85c65d28b
354,0.0,0.0,3af14a63c
355,1.2,0.0,02a2a622c
356,1.5,0.7,5980b0699
357,0.5,0.2,87f4ea65f
358,8.4,0.4,c6df6932d
359,1.3,0.3,6a72cfda7
360,2.6,0.4,196504d88
361,10.7,0.4,c05a85bbb
362,0.1,0.1,412d7406c
363,1.8,0.4,dfb7301a8
364,3.4,0.0,1c9a2baf6
365,2.6,0.4,2ad6c7675
366,0.5,0.0,b3f83cef6
367,0.2,0.0,7a9ca7419
368,1.0,0.5,3f8824a3b
369,0.4,0.2,3ce528284
370,4.6,0.3,2185647c2
371,2.7,0.0,c675f3b10
372,3.6,0.4,c148399c0
373,8.3,0.4,ae00eded4
374,0.3,0.3,f89c6f6a6
375,0.0,0.0,ee4cb45ea
376,0.0,0.0,bcb22c952
377,3.2,0.2,4fec4436f
378,0.9,0.9,31e14c50a
379,4.7,0.6,2fbf2cb7c
380,2.3,0.1,88c193102
381,1.5,0.1,a39ad6dc7
382,2.7,0.3,49d1423d5
383,2.0,-0.1,bfdd20655
384,1.0,0.4,f0a2122d4
385,2.0,0.1,854edf08f
386,3.9,0.6,85078bc71
387,1.7,0.0,7c6cc4bba
388,1.6,0.8,95563629d
389,0.9,0.9,d18d572dd
390,1.1,0.2,b091feb55
391,0.2,0.2,97db95d21
392,1.1,0.5,ffd697903
393,0.5,-0.5,65ba8b6a0
394,0.1,0.1,a345b4406
395,2.0,0.4,5c1fa6bd2
396,3.8,0.5,37884b086
397,0.1,0.1,8f45b9967
398,1.6,0.8,c92256e41
399,3.1,0.2,28e14ee81
400,0.8,0.8,de489fcd8
401,1.2,0.2,0995bd489
402,6.9,0.3,f2be40d43
403,4.4,0.6,5112b0c92
404,0.4,0.2,5a358b56f
405,0.9,0.9,4e974f807
406,2.0,0.6,d7f1381ba
407,1.3,0.2,037464956
408,1.8,0.6,fd9489e42
409,2.4,0.1,bd7bae691
410,0.2,0.1,132a28bc9
411,0.0,0.0,8aa432e1d
412,0.6,0.6,b89c365c3
413,1.4,0.4,554965e66
414,5.3,0.1,1e011d469
415,0.0,0.0,b92781dca
416,0.8,0.1,8390dbef8
417,1.3,0.0,8c75e5189
418,2.3,0.5,86ea9dda0
419,3.9,0.2,42331ae6f
420,3.0,0.2,d7d1cf92c
421,5.0,0.3,b00d0fe1c
422,5.0,0.3,eaab63bd7
423,7.1,0.1,1de8444a7
424,1.1,0.5,fda10b9ed
425,0.5,0.0,07bd5a7a9
426,1.7,0.2,2b3fc0265
427,0.3,0.1,23d784a8a
428,2.0,-0.1,f262fd637
429,2.0,0.5,0fc2dc3cb
430,0.2,0.2,169e5aef1
431,2.5,0.2,9a3224461
432,3.6,0.6,37865f566
433,3.4,0.0,54fd5fde4
434,0.7,0.3,64f563069
435,0.8,0.2,00ac364a4
436,0.9,0.2,5daea1779
437,1.3,0.3,5b73a7ea8
438,3.2,0.3,9ba11975b
439,1.2,0.3,f4212d640
440,2.2,0.3,ea92dcef6
441,2.8,0.3,28e86bb13
442,6.2,0.3,6ae92889d
443,3.0,0.4,0eba510fc
444,0.0,0.0,02e072cbd
445,1.8,0.1,bfb33b149
446,2.5,0.3,d40c291a9
447,0.0,0.0,cac68ead1
448,2.0,0.4,10337747f
449,4.4,0.7,43ad546c7
450,3.2,0.6,7d8ffca23
451,6.5,0.2,a6af385f0
452,0.0,0.0,df9cc49a1
453,2.4,0.4,ffe0f06ab
454,0.8,-0.3,1929d8aea
455,2.1,0.2,5b64325b9
456,1.8,0.6,0ea337520
457,0.2,0.2,8328ec7f4
458,0.0,0.0,a8df693c0
459,1.7,0.8,e29fd3f0a
460,2.2,0.1,92586e5a3
461,2.7,0.2,3b3ce72d1
462,2.7,0.0,5c67a27f5
463,1.9,0.0,f904be121
464,2.6,0.1,32eb3673a
465,1.7,0.8,c220fd5cc
466,1.9,0.3,1c7619fdc
467,2.1,0.1,d0eb1073d
468,0.3,0.1,fbcea110f
469,0.7,0.1,59913444e
470,0.9,0.1,fe3950458
471,1.9,0.4,abbe2568f
472,0.2,0.2,5bf02a5f8
473,1.4,0.4,14b3376eb
474,0.5,0.1,69ba6c8d8
475,0.1,0.1,5bbc1017c
476,11.3,0.2,1fba9cbc9
477,0.7,-0.7,351f3746c
478,0.2,0.0,2f8890a94
479,4.4,0.4,f3cb6ffea
480,4.4,0.4,467aed7e3
481,2.3,0.3,52602ec39
482,2.9,0.7,ec9da833d
483,0.7,0.7,67a68df4a
484,1.3,0.4,623138a05
485,3.4,0.1,ed9885dcd
486,2.1,0.2,8bf9a6b80
487,1.7,0.1,7b8a09f2d
488,1.8,0.4,45afc38e4
489,3.5,0.1,5145c1766
490,2.7,0.3,54e2508de
491,0.4,0.0,f9df8656a
492,7.7,0.3,8c4488c48
493,0.1,0.1,ed81d1da8
494,1.2,0.3,2bd8e5830
495,6.9,0.3,4892ceb8d
496,2.3,0.5,30dbb2e50
497,1.8,0.3,52da0c86c
498,0.5,0.5,88e2d97b2
499,2.1,0.2,e27adf529
500,1.1,0.5,a05289ebd
501,3.2,0.3,cb062285d
502,2.3,0.5,d6be47a3c
503,4.5,0.3,19abfb0c6
504,0.6,0.6,4f35cb8e6
505,3.2,-0.4,7e6d7cbb3
506,1.6,0.4,e5164d828
507,2.3,0.5,6c06b0725
508,2.1,0.7,8969b314b
509,0.3,0.1,30bfebc76
510,2.5,0.2,018e4d193
511,2.4,0.4,5bda8f113
512,3.0,0.7,87bdcbcdd
513,2.4,0.2,4f1d0410d
514,2.7,0.9,2f2301bac
515,2.3,0.2,23ed3e349
516,1.4,0.2,cd37edf46
517,0.7,-0.1,925c3854a
518,0.7,0.7,1195168b6
519,1.7,0.8,25f6db0fd
520,0.5,0.5,4f5fd467a
521,0.5,0.5,e940019a3
522,2.3,0.2,a9f6ed0cb
523,3.7,0.1,0cb5ad250
524,0.1,0.1,e2f1f5377
525,1.8,0.6,f344595d7
526,1.1,0.3,c001473a1
527,1.3,0.4,10b9af23d
528,2.8,0.2,7ec0fc838
529,2.3,0.4,a3d9bc3aa
530,1.6,0.1,d0b5fece1
531,3.0,0.4,0d25fb291
532,4.6,0.5,8cbae6e2a
533,0.1,0.1,828ac8371
534,1.5,0.0,2e553e40a
535,2.7,0.2,72e76bc9b
536,0.0,0.0,e3672355d
537,4.2,0.3,f0ef9c777
538,0.2,0.0,e39881452
539,1.3,0.4,9ca6debf5
540,1.1,0.1,fcd19b26b
541,5.6,0.2,1d4574c90
542,2.2,0.5,95855babf
543,4.8,0.4,f7f9eacc9
544,2.2,0.3,34221a4f8
545,1.4,0.4,08b7e05a5
546,0.8,0.4,4f623a979
547,4.8,0.2,e5962e049
548,4.2,0.6,f4ed1a08e
549,0.8,0.3,4c4ba8c4e
550,1.4,0.7,c4835ee5c
551,9.7,0.4,a3cc5de2b
552,2.2,0.1,417c109aa
553,3.5,0.2,31a77d7ba
554,1.2,0.1,2cdc94986
555,1.9,0.3,a6e37f91b
556,2.7,0.5,9dfd5312c
557,1.7,0.5,489466e53
558,2.6,0.0,564ad520f
559,2.8,0.5,a8a8f95f6
560,0.9,0.9,7cd6556bc
561,1.8,-0.1,66fcb54d7
562,0.2,0.0,fd123a15d
563,1.2,0.0,fa1c96e93
564,1.4,0.7,a0b92d7a2
565,6.6,0.3,c1c0405ef
566,2.6,0.2,660dd8ded
567,2.7,0.3,c943ed53a
568,4.0,0.3,4bdc6f196
569,2.8,0.3,ba804d3fa
570,1.7,0.1,faf4322a0
571,2.8,0.2,23bcfa015
572,1.2,0.3,a1543decd
573,2.4,0.3,5eaee2353
574,0.7,0.7,c69315120
575,1.2,0.2,a2656874e
576,1.0,0.5,8a7fcc8cd
577,2.0,0.6,a79e1889c
578,1.5,0.1,0c612e8df
579,2.8,0.2,c45e47c4c
580,2.3,0.1,28e86de6d
581,2.6,0.2,ad5692ee7
582,1.6,0.1,e21227d75
583,0.6,0.6,cc0d4cec3
584,2.5,0.8,a27f0cc49
585,1.6,0.3,26a1a063b
586,1.5,0.7,d06076338
587,2.5,0.6,dd074b8ba
588,2.4,0.1,5f891f500
589,2.0,0.6,110242085
590,0.1,0.0,55553842f
591,1.0,0.2,daed4ac40
592,5.0,0.2,9ec6fbb61
593,1.4,0.4,c79c98af1
594,1.9,0.6,b52b8d946
595,3.3,0.1,d010fb743
596,3.0,0.5,3f38aabf4
597,1.2,0.3,6b5f208fc
598,2.2,0.7,f15a31a01
599,8.7,0.1,f205b0649
600,0.8,0.4,5dca19c12
601,1.9,0.9,a64d70c84
602,3.8,0.6,8e453a294
603,0.1,0.0,791e6dc19
604,0.2,0.2,91df1b68f
605,1.8,0.9,c554f052c
606,0.3,0.3,5fe2e44a2
607,0.6,0.3,65df826e8
608,0.3,0.1,d1a11cf42
609,0.4,0.4,9c178d0f4
610,1.5,0.5,e267af6d8
611,1.7,0.0,cb33000d9
612,0.3,0.3,b62d80c49
613,0.5,0.2,36e7f8d83
614,7.1,0.5,eda8eecc6
615,2.5,0.2,2e9e910d4
616,2.3,0.1,4679d01e2
617,1.6,0.3,c0645d6c9
618,3.2,0.6,5601bd45c
619,0.8,0.8,cff80e84d
620,0.0,0.0,818b12621
621,3.5,0.3,15721ae3c
622,1.8,0.6,c45a57747
623,1.2,0.2,5009ff19c
624,1.5,0.1,dbaa03313
625,0.9,-0.9,e17f6ac56
626,2.0,0.5,25ef79825
627,16.7,0.4,4605a3467
628,0.7,0.2,f64fd2354
629,0.5,0.2,e4abb93bf
630,1.6,0.5,0f258665b
631,0.9,0.9,bb567f5cd
632,0.9,0.9,7f59b246d
633,0.9,0.9,d0b61aedc
634,1.0,0.5,b18e25ae6
635,0.3,-0.3,c8eef30bd
636,0.9,0.9,1c6e35149
637,1.1,0.5,106f7b51d
638,0.9,0.4,e21d09b79
639,0.9,0.9,8468db069
640,5.0,0.1,3f936cb8a
641,0.3,-0.3,c8264b581
642,1.2,0.6,ab503c64a
643,2.6,0.1,953416879
644,1.9,0.3,1b3dcf712
645,0.6,0.6,6f1a516f4
646,0.9,0.9,1a2f33fec
647,1.3,0.3,edeab1cc8
648,0.9,0.4,11a3055b7
649,2.1,0.0,e809de3b9
650,3.1,0.1,fd38d0da0
651,3.0,0.4,306c74aa9
652,4.4,0.6,2633bc461
653,4.4,0.3,08f8df31d
654,1.3,0.4,7b6f894a1
655,2.3,0.0,4e4ba4429
656,0.9,0.9,082b9a2de
657,2.6,0.1,681eb7101
658,1.9,0.9,ecba83b43
659,2.2,0.1,9951dff79
660,0.7,0.1,4f1d86875
661,0.3,0.0,1b5dbc3cf
662,0.2,0.2,d1531602c
663,0.9,0.1,1d6944a82
664,1.3,0.4,a89fd1f1e
665,1.7,0.8,8d51c3200
666,5.9,0.4,38cf8b2f5
667,3.6,0.3,eac9c6b7a
668,3.7,0.3,8947bf4b9
669,3.3,0.0,5027f31e5
670,1.4,0.0,51022a643
671,0.4,0.4,e470b6bd3
672,1.4,0.0,7ca7983b5
673,0.0,0.0,443005b65
674,6.8,0.1,303ecdb58
675,0.6,0.6,1fba191e3
676,3.8,0.2,17fb33fc8
677,1.6,0.0,52820e80e
678,0.5,0.2,1caa6fcdb
679,1.9,0.0,f2bb56f7a
680,3.8,0.0,7b052d37d
681,1.9,0.2,cc9f9c4c1
682,5.1,0.3,5bfbb098d
683,9.2,0.2,f96ccddd5
684,0.0,0.0,28ec2de89
685,2.5,0.1,c6a3de42f
686,2.6,0.1,ea4cea375
687,1.7,0.8,d8df310c9
688,0.0,0.0,8c10b6035
689,5.7,0.5,5ea1f2c39
690,1.1,0.3,2f43fb067
691,2.3,0.7,e24a04c10
692,0.7,0.7,c1ecd33ac
693,1.6,0.0,7125e101b
694,1.7,0.5,52363327c
695,0.1,0.0,5074cf806
696,0.0,0.0,639fed947
697,2.0,0.0,a94db6dc4
698,1.0,0.5,a5a71bc27
699,4.8,0.4,31da37bc0
700,1.3,0.6,773243cf2
701,0.9,0.9,5a651d147
702,0.9,0.3,ec8411943
703,1.8,0.9,1b87c512e
704,3.3,0.0,cd9de4e83
705,1.3,0.4,b1c66fa13
706,2.8,0.5,7efce4735
707,0.4,0.4,6f43738b5
708,0.0,0.0,ea6129e3d
709,1.0,0.3,8f20e24ef
710,0.8,0.0,1f7363767
711,1.9,-0.1,487531377
712,1.2,0.3,2bfc5658b
713,0.4,-0.1,dcefbb974
714,0.9,0.1,3ef9ac2a6
715,0.9,0.9,aab56f3ff
716,6.6,0.4,6ea58b8ac
717,2.5,0.2,652787a1f
718,0.9,0.9,fe9307848
719,0.9,0.9,8c5bf2766
720,1.8,0.3,4c48a8f2f
721,6.9,0.2,40ca5f1a0
722,0.9,0.3,6c34a5944
723,1.7,0.8,283ce4b9b
724,0.0,0.0,75bbaa3fa
725,1.3,0.2,f06cf606d
726,1.0,-0.1,b6661be84
727,1.8,0.0,f3a9092a2
728,1.0,0.5,8f1ccbc6f
729,0.9,0.9,f8d831236
730,1.7,0.2,0ac71c2c1
731,4.5,0.3,8ef67ba31
732,5.2,0.3,de813940a
733,1.9,0.4,dad58d0a7
734,0.9,0.9,28c005011
735,0.0,0.0,5d168f0e6
736,0.9,0.4,9eb6e75e2
737,2.9,0.1,76b67f389
738,1.8,0.5,c0677007e
739,1.8,0.3,0819ac2f6
740,0.9,0.9,fdffad0c0
741,1.2,0.2,8ea9f1228
742,3.9,0.3,caa16cc3c
743,3.2,0.0,3497c1ad0
744,3.0,0.3,dd7ab4e26
745,7.4,0.3,ea3ebc38a
746,1.9,0.4,c2c4f5f40
747,7.5,0.4,4a8dc3644
748,1.1,0.3,06db81e31
749,1.8,0.2,19470706b
750,3.5,0.2,24ea0569a
751,5.5,0.0,7cdd625cc
752,1.4,0.2,e94f842c0
753,1.0,0.5,1f3e595eb
754,8.0,0.5,171113c99
755,0.7,0.7,0a555d688
756,0.8,0.8,4b628f538
757,0.2,0.1,de61ca522
758,0.0,0.0,3ec367f79
759,0.0,0.0,078fb1715
760,1.4,0.3,abe9e2d91
761,1.2,0.6,7f8f45a35
762,3.6,0.2,2a1bd7d28
763,1.9,0.6,5c7d61133
764,1.0,0.5,cb8193d43
765,1.8,0.6,41c83dda8
766,2.5,0.2,e7d595174
767,0.8,0.8,916c891aa
768,2.0,0.0,74b73209e
769,1.4,0.7,dc2354851
770,2.9,0.2,656c5e0ff
771,4.6,0.2,daa7f33d4
772,1.9,0.3,43894825a
773,2.0,0.6,7e1af1787
774,3.8,0.6,90e582b0c
775,0.8,0.8,8cc2eea7f
776,4.6,0.2,bf0deefda
777,0.5,0.5,25ebacf03
778,2.1,0.5,c1ed7562f
779,1.3,0.3,c68bc0253
780,2.7,0.4,3af2b1473
781,2.1,0.5,9f40dbc58
782,1.6,0.2,8bdffc917
783,5.9,0.2,cad1a9f54
784,3.3,0.6,fe3a83fe5
785,9.3,0.2,2ad939a78
786,1.6,0.4,77bb4ce3a
787,3.9,0.3,3a88e6c8f
788,0.8,-0.1,4e1034525
789,0.3,0.0,be4acc363
790,0.9,0.9,c8e2a9092
791,3.2,0.2,25fc96414
792,3.1,0.1,d4850786d
793,3.5,0.7,7983db8d9
794,1.6,0.5,35b9530a6
795,2.0,0.0,6cf058ab3
796,1.9,0.2,84ce5f32b
797,0.0,0.0,39bf24ec8
798,1.8,0.3,c5f20f40f
799,8.4,0.1,243f7f43e
800,2.7,0.6,72896003b
801,4.5,-0.2,58e24d608
802,1.3,0.1,199f37bc2
803,1.6,0.1,ae1d9f63a
804,1.6,0.5,7d25e2e3b
805,1.1,0.1,33aa18b41
806,0.3,0.3,105fd5ad7
807,0.1,0.1,890dc359d
808,2.6,0.3,f4cf82def
